ds_type,pipeline_category,chunk_size,pipeline_count,operator_count,chunk_parts,full_actual_time,full_pred_time,chunk_actual_time,chunk_pred_time,chunk_pred_abs_error,chunk_actual_abs_error,full_pred_abs_error,chunk_pred_mape,chunk_actual_mape,full_pred_mape,chunk_pred_accuracy,chunk_actual_accuracy,full_pred_accuracy
audio,filter-heavy,100,1,4,852,2892.0310000000004,1386.9987812042236,4722.846,7900.655563831329,5008.6245638313285,1830.8149999999991,1505.0322187957768,173.18709805777766,63.305510902199835,52.040666880672326,-73.18709805777766,36.694489097800165,47.959333119327674
audio,filter-heavy,200,1,4,428,2892.0310000000004,1386.9987812042236,3795.616,4328.584780454636,1436.5537804546352,903.5849999999996,1505.0322187957768,49.67283478132271,31.24395969476121,52.040666880672326,50.32716521867729,68.7560403052388,47.959333119327674
audio,filter-heavy,500,1,4,172,2892.0310000000004,1386.9987812042236,3355.197,2483.795769929886,408.23523007011454,463.1659999999997,1505.0322187957768,14.115866326125637,16.01525018231131,52.040666880672326,85.88413367387436,83.9847498176887,47.959333119327674
audio,filter-heavy,1000,1,4,88,2892.0310000000004,1386.9987812042236,3128.014,1697.6749577522278,1194.3560422477726,235.98299999999972,1505.0322187957768,41.298175650529764,8.159767305398859,52.040666880672326,58.701824349470236,91.84023269460114,47.959333119327674
audio,mapper-heavy,100,1,3,639,5020.214,2093.4436416625977,6831.046,8177.30601644516,3157.09201644516,1810.8320000000003,2926.7703583374023,62.88759834630875,36.07081291753699,58.299713086681216,37.11240165369125,63.92918708246301,41.700286913318784
audio,mapper-heavy,200,1,3,321,5020.214,2093.4436416625977,6077.365,5193.396389007568,173.18238900756842,1057.1509999999998,2926.7703583374023,3.44970132762405,21.057887173734024,58.299713086681216,96.55029867237594,78.94211282626597,41.700286913318784
audio,mapper-heavy,500,1,3,129,5020.214,2093.4436416625977,5615.635,3098.645733356476,1921.568266643524,595.4210000000003,2926.7703583374023,38.276620611064075,11.860470489903424,58.299713086681216,61.723379388935925,88.13952951009658,41.700286913318784
audio,mapper-heavy,1000,1,3,66,5020.214,2093.4436416625977,5484.370000000001,2054.372489929199,2965.8415100708007,464.15600000000086,2926.7703583374023,59.0779897046381,9.245741317003635,58.299713086681216,40.9220102953619,90.75425868299637,41.700286913318784
audio,mixed,100,1,4,852,3864.232,1528.8202686309814,6110.418,8478.520883083344,4614.2888830833435,2246.1859999999997,2335.4117313690185,119.41024459927208,58.127617596459004,60.436633498429146,-19.410244599272076,41.872382403540996,39.563366501570854
audio,mixed,200,1,4,428,3864.232,1528.8202686309814,5090.098000000001,4576.168597459793,711.9365974597931,1225.866000000001,2335.4117313690185,18.423753994578824,31.723405841057183,60.436633498429146,81.57624600542118,68.27659415894281,39.563366501570854
audio,mixed,500,1,4,172,3864.232,1528.8202686309814,4430.54,2993.651992082596,870.5800079174041,566.308,2335.4117313690185,22.529185823144264,14.655124226495717,60.436633498429146,77.47081417685574,85.34487577350428,39.563366501570854
audio,mixed,1000,1,4,88,3864.232,1528.8202686309814,4286.598,1960.3857417106628,1903.8462582893371,422.366,2335.4117313690185,49.2684253504794,10.930140840405027,60.436633498429146,50.7315746495206,89.06985915959497,39.563366501570854
image,filter-heavy,100,1,8,4208,55.565999999999995,57.08144676685333,4903.845,4474.35102981329,4418.78502981329,4848.279,1.5154467668533371,7952.3180178765615,8725.261850772056,2.727291449543493,-7852.3180178765615,-8625.261850772056,97.27270855045651
image,filter-heavy,200,1,8,2104,55.565999999999995,57.08144676685333,2440.197,2200.4319394230843,2144.8659394230845,2384.6310000000003,1.5154467668533371,3860.033004756658,4291.528992549402,2.727291449543493,-3760.033004756658,-4191.528992549402,97.27270855045651
image,filter-heavy,500,1,8,848,55.565999999999995,57.08144676685333,1049.777,921.5587369501591,865.992736950159,994.211,1.5154467668533371,1558.493929651512,1789.2434222366198,2.727291449543493,-1458.493929651512,-1689.2434222366198,97.27270855045651
image,filter-heavy,1000,1,8,424,55.565999999999995,57.08144676685333,621.725,575.0019967257977,519.4359967257976,566.159,1.5154467668533371,934.8090500050349,1018.8946478062124,2.727291449543493,-834.8090500050349,-918.8946478062124,97.27270855045651
image,mapper-heavy,100,1,7,3682,202.44,243.04808592796326,10660.338,6823.498606860638,6621.058606860638,10457.898,40.60808592796326,3270.6276461473217,5165.924718435092,20.05931926890104,-3170.6276461473217,-5065.924718435092,79.94068073109896
image,mapper-heavy,200,1,7,1841,202.44,243.04808592796326,7503.132,4556.8838502168655,4354.443850216866,7300.692,40.60808592796326,2150.9799694807675,3606.3485477178424,20.05931926890104,-2050.9799694807675,-3506.3485477178424,79.94068073109896
image,mapper-heavy,500,1,7,742,202.44,243.04808592796326,4349.705,2555.3946883678436,2352.9546883678436,4147.265,40.60808592796326,1162.297316917528,2048.6391029440824,20.05931926890104,-1062.297316917528,-1948.6391029440824,79.94068073109896
image,mapper-heavy,1000,1,7,371,202.44,243.04808592796326,2657.973,1536.9865600466728,1334.5465600466728,2455.533,40.60808592796326,659.2306658993641,1212.9682868998223,20.05931926890104,-559.2306658993641,-1112.9682868998223,79.94068073109896
image,mixed,100,1,8,4208,82.44,91.60030102729797,7320.0509999999995,5551.025764584541,5468.585764584542,7237.611,9.160301027297976,6633.413105997746,8779.246724890829,11.111476258245968,-6533.413105997746,-8679.246724890829,88.88852374175403
image,mixed,200,1,8,2104,82.44,91.60030102729797,3980.96,2918.1603902578354,2835.7203902578353,3898.52,9.160301027297976,3439.7384646504556,4728.918000970402,11.111476258245968,-3339.7384646504556,-4628.918000970402,88.88852374175403
image,mixed,500,1,8,848,82.44,91.60030102729797,1658.481,1203.137424826622,1120.697424826622,1576.041,9.160301027297976,1359.409782662084,1911.7430858806404,11.111476258245968,-1259.409782662084,-1811.7430858806404,88.88852374175403
image,mixed,1000,1,8,424,82.44,91.60030102729797,995.367,657.6171875447035,575.1771875447034,912.9269999999999,9.160301027297976,697.6918820289949,1107.3835516739446,11.111476258245968,-597.6918820289949,-1007.3835516739446,88.88852374175403
text,filter-heavy,100,1,23,2300,56.175,105.77400124073029,4846.589,6733.582828402519,6677.407828402519,4790.414,49.59900124073029,11886.796312243025,8527.661771250558,88.29372717530983,-11786.796312243025,-8427.661771250558,11.706272824690174
text,filter-heavy,200,1,23,1150,56.175,105.77400124073029,2477.788,3607.0965954065323,3550.921595406532,2421.613,49.59900124073029,6321.1777399315215,4310.837561192701,88.29372717530983,-6221.1777399315215,-4210.837561192701,11.706272824690174
text,filter-heavy,500,1,23,460,56.175,105.77400124073029,994.977,1516.2317502498627,1460.0567502498627,938.802,49.59900124073029,2599.121940809725,1671.2096128170895,88.29372717530983,-2499.121940809725,-1571.2096128170895,11.706272824690174
text,filter-heavy,1000,1,23,230,56.175,105.77400124073029,493.17,800.7970373630524,744.6220373630524,436.995,49.59900124073029,1325.5398973975123,777.917222963952,88.29372717530983,-1225.5398973975123,-677.917222963952,11.706272824690174
text,mapper-heavy,100,1,16,1600,38.453,81.46523237228394,2809.3830000000003,5243.067749977112,5204.614749977111,2770.9300000000003,43.01223237228393,13535.003120633268,7206.017735937378,111.85663634120597,-13435.003120633268,-7106.017735937378,-11.85663634120597
text,mapper-heavy,200,1,16,800,38.453,81.46523237228394,1540.504,2833.6214170455933,2795.1684170455933,1502.051,43.01223237228393,7269.0516137768,3906.199776350349,111.85663634120597,-7169.0516137768,-3806.199776350349,-11.85663634120597
text,mapper-heavy,500,1,16,320,38.453,81.46523237228394,632.426,1202.643268108368,1164.190268108368,593.9730000000001,43.01223237228393,3027.5668169151113,1544.6727173432503,111.85663634120597,-2927.5668169151113,-1444.6727173432503,-11.85663634120597
text,mapper-heavy,1000,1,16,160,38.453,81.46523237228394,317.589,632.1076254844666,593.6546254844666,279.13599999999997,43.01223237228393,1543.8447597962877,725.9147530751825,111.85663634120597,-1443.8447597962877,-625.9147530751825,-11.85663634120597
text,mixed,100,1,20,2000,50.555,73.30553543567657,2758.175,4437.007677435875,4386.452677435875,2707.6200000000003,22.750535435676575,8676.595148720946,5355.790722974979,45.0015536261034,-8576.595148720946,-5255.790722974979,54.9984463738966
text,mixed,200,1,20,1000,50.555,73.30553543567657,1379.492,2349.247192978859,2298.692192978859,1328.937,22.750535435676575,4546.9136445037275,2628.6954801701113,45.0015536261034,-4446.9136445037275,-2528.6954801701113,54.9984463738966
text,mixed,500,1,20,400,50.555,73.30553543567657,567.945,971.6656711101532,921.1106711101532,517.3900000000001,22.750535435676575,1821.9971735934196,1023.4200375828309,45.0015536261034,-1721.9971735934196,-923.4200375828309,54.9984463738966
text,mixed,1000,1,20,200,50.555,73.30553543567657,296.036,507.7761198282242,457.2211198282242,245.481,22.750535435676575,904.4033623345349,485.5721491444961,45.0015536261034,-804.4033623345349,-385.5721491444961,54.9984463738966
