level,ds_type,chunk_size,pipeline_category,pipeline_base_name,operator_name,row_count,sample_count,skipped_count,rmse,mae,mape,accuracy,actual_time_sum,pred_time_sum
by_pipeline_category,text,,mapper-heavy,,,2880,2880,0,0.3843774961613832,0.3221782128638691,19.625201215829964,80.37479878417004,5299.902,6123.960641384125
by_pipeline_category,text,,mixed,,,3600,3600,0,0.420318723779576,0.24035041199790108,13.542609758998859,86.45739024100114,5001.648,5681.125123262405
by_pipeline_category_chunk_size,audio,100.0,filter-heavy,,,852,852,0,15.277496177976392,8.148097047763251,81.52090232568169,18.47909767431831,4722.846,11519.163132429123
by_pipeline_category_chunk_size,audio,200.0,filter-heavy,,,428,428,0,9.977431188064376,5.454394368684181,48.01040040542385,51.98959959457615,3795.616,6055.419432401657
by_pipeline_category_chunk_size,audio,500.0,filter-heavy,,,172,172,0,5.427998082967087,2.776168331390204,21.776643015362684,78.22335698463732,3355.197,3781.8568563461304
by_pipeline_category_chunk_size,audio,1000.0,filter-heavy,,,88,88,0,4.995374662233954,2.3048471188328477,10.65005010970229,89.34994989029771,3128.014,3086.731211423874
by_pipeline_category_chunk_size,audio,100.0,mapper-heavy,,,639,639,0,13.415098160330105,9.260798631891957,102.471008669704,-2.4710086697040055,6831.046,12748.696325778961
by_pipeline_category_chunk_size,audio,200.0,mapper-heavy,,,321,321,0,9.123343682008041,6.229808390727296,56.349530320211976,43.650469679788024,6077.365,8077.133493423462
by_pipeline_category_chunk_size,audio,500.0,mapper-heavy,,,129,129,0,5.997441934249772,3.4977324103421945,26.095695652534484,73.90430434746551,5615.635,5658.3594217300415
by_pipeline_category_chunk_size,audio,1000.0,mapper-heavy,,,66,66,0,18.30558652435496,10.98068252523018,24.799634629226684,75.20036537077331,5484.370000000001,4905.718065738678
by_pipeline_category_chunk_size,audio,100.0,mixed,,,852,852,0,13.953607281554463,7.433850333104111,52.4204079680296,47.5795920319704,6110.418,12323.453128099442
by_pipeline_category_chunk_size,audio,200.0,mixed,,,428,428,0,6.847681255686769,3.7450228238729677,26.677807808840235,73.32219219115976,5090.098,6629.220991373062
by_pipeline_category_chunk_size,audio,500.0,mixed,,,172,172,0,4.024552884164013,1.9211375160549968,17.03220937794634,82.96779062205366,4430.539999999999,4556.195298433304
by_pipeline_category_chunk_size,audio,1000.0,mixed,,,88,88,0,11.539103763319455,5.27631922786886,11.605534315811685,88.39446568418832,4286.598,3912.6100087165833
by_pipeline_category_chunk_size,image,100.0,filter-heavy,,,4208,4208,0,0.43251463116022276,0.2644754828151188,20.004596808537404,79.9954031914626,4903.845,5597.105415821075
by_pipeline_category_chunk_size,image,200.0,filter-heavy,,,2104,2104,0,0.4041098811799256,0.24529989591524176,17.976490274385934,82.02350972561406,2440.197,2644.8502613306046
by_pipeline_category_chunk_size,image,500.0,filter-heavy,,,848,848,0,0.457529649704071,0.2526026614960635,17.19414334610539,82.80585665389461,1049.777,1106.3252543210983
by_pipeline_category_chunk_size,image,1000.0,filter-heavy,,,424,424,0,0.6759771198793152,0.3413085153260321,21.052995385329144,78.94700461467086,621.725,666.5759860277176
by_pipeline_category_chunk_size,image,100.0,mapper-heavy,,,3682,3682,0,1.342222862586282,0.7883701037081086,28.285563692984518,71.71443630701549,10660.338,10337.297515153885
by_pipeline_category_chunk_size,image,200.0,mapper-heavy,,,1841,1841,0,1.3432009755928422,0.9652864289312243,28.286137119036,71.713862880964,7503.132,6732.131749868393
by_pipeline_category_chunk_size,image,500.0,mapper-heavy,,,742,742,0,1.5747917188704512,1.17157395400127,27.168470550463567,72.83152944953643,4349.705,3871.721472978592
by_pipeline_category_chunk_size,image,1000.0,mapper-heavy,,,371,371,0,2.8777748650002763,1.7160307694201202,22.734274205534742,77.26572579446525,2657.973,2187.064123392105
by_pipeline_category_chunk_size,image,100.0,mixed,,,4208,4208,0,0.6484726911883029,0.4103612955323644,22.065601296663353,77.93439870333665,7320.0509999999995,6991.426427125931
by_pipeline_category_chunk_size,image,200.0,mixed,,,2104,2104,0,0.7644399637734833,0.5718961918621461,26.5506597983407,73.4493402016593,3980.96,3418.0262109041214
by_pipeline_category_chunk_size,image,500.0,mixed,,,848,848,0,0.7287784923024617,0.5152410010582996,23.734062124268412,76.2659378757316,1658.4810000000002,1466.3338969945908
by_pipeline_category_chunk_size,image,1000.0,mixed,,,424,424,0,1.320631059415876,0.6009894040665537,22.398420769559593,77.60157923044041,995.367,849.0208775997162
by_pipeline_category_chunk_size,text,100.0,filter-heavy,,,2300,2300,0,0.32084386376897017,0.18563078847180242,7.990528345938225,92.00947165406177,4846.589,4758.7053879499435
by_pipeline_category_chunk_size,text,200.0,filter-heavy,,,1150,1150,0,0.29363441133181534,0.17467683670209802,7.601046164390493,92.3989538356095,2477.788,2429.2616894245148
by_pipeline_category_chunk_size,text,500.0,filter-heavy,,,460,460,0,0.2530108286173458,0.15768323984353436,7.236197826176884,92.76380217382311,994.9770000000001,994.5804458856583
by_pipeline_category_chunk_size,text,1000.0,filter-heavy,,,230,230,0,0.23240393923405525,0.1529652735254039,7.487577261519737,92.51242273848027,493.16999999999996,504.33706545829773
by_pipeline_category_chunk_size,text,100.0,mapper-heavy,,,1600,1600,0,0.38534464575750704,0.3294405183231831,20.88658845224839,79.11341154775161,2809.383,3276.778665781021
by_pipeline_category_chunk_size,text,200.0,mapper-heavy,,,800,800,0,0.35938528375005696,0.29084533831357956,17.170087912048462,82.82991208795154,1540.504,1739.6626589298248
by_pipeline_category_chunk_size,text,500.0,mapper-heavy,,,320,320,0,0.4128802140923857,0.3437335974752903,19.219963599887198,80.7800364001128,632.4259999999999,734.6768786907196
by_pipeline_category_chunk_size,text,1000.0,mapper-heavy,,,160,160,0,0.433353272281422,0.3631087617993355,20.097370602438843,79.90262939756116,317.58900000000006,372.8424379825592
by_pipeline_category_chunk_size,text,100.0,mixed,,,2000,2000,0,0.4222135552990434,0.24049289656448364,13.65925735141382,86.34074264858619,2758.1749999999997,3158.7790217399597
by_pipeline_category_chunk_size,text,200.0,mixed,,,1000,1000,0,0.444297249577529,0.24858249231624605,13.778229253216793,86.2217707467832,1379.4920000000002,1564.4169880151749
by_pipeline_category_chunk_size,text,500.0,mixed,,,400,400,0,0.3879704237875224,0.23253864521980286,13.020541709126537,86.97945829087347,567.9449999999999,635.4516603946686
by_pipeline_category_chunk_size,text,1000.0,mixed,,,200,200,0,0.33065955288383625,0.2133886982965469,12.242172463504241,87.75782753649575,296.03600000000006,322.47745311260223
by_pipeline_chunk_size,audio,100.0,mixed,audio_pipeline_1781071552218,,852,852,0,13.953607281554463,7.433850333104111,52.4204079680296,47.5795920319704,6110.418,12323.453128099442
by_pipeline_chunk_size,audio,200.0,mixed,audio_pipeline_1781071552218,,428,428,0,6.847681255686769,3.7450228238729677,26.677807808840235,73.32219219115976,5090.098,6629.220991373062
by_pipeline_chunk_size,audio,500.0,mixed,audio_pipeline_1781071552218,,172,172,0,4.024552884164013,1.9211375160549968,17.03220937794634,82.96779062205366,4430.539999999999,4556.195298433304
