ds_type,pipeline_base_name,pipeline_category,chunk_size,operator_index,operator_name,chunk_parts,chunk_actual_time_sum,chunk_actual_time_mean,chunk_actual_time_median,chunk_actual_time_min,chunk_actual_time_max,chunk_input_count_sum,chunk_output_count_sum,chunk_input_count_mean,chunk_output_count_mean,full_pipeline_name,full_scale_token,full_scale_value,full_actual_time,full_input_count,full_output_count,chunk_minus_full_time,chunk_sum_to_full_ratio,chunk_sum_relative_error,chunk_sum_accuracy,chunk_input_coverage_ratio,chunk_output_coverage_ratio,avg_chunk_time_to_full_ratio,estimated_repeated_overhead,estimated_repeated_overhead_per_chunk,reason
audio,audio_pipeline_1781071552218,mixed,500,4,audio_add_gaussian_noise_mapper,43,122.191,2.8416511627906975,2.825,2.717,3.371,7797.0,7797.0,181.32558139534885,181.32558139534885,audio_pipeline_1781071552218_8G,8G,8192.0,33.731,7797.0,7797.0,88.46000000000001,3.6225134149595326,2.622513414959533,-162.25134149595328,1.0,1.0,0.0842444980223147,88.46000000000001,2.0572093023255817,chunk_sum大于full，存在重复调度/I/O/初始化开销
audio,audio_pipeline_1781071552218,mixed,1000,1,audio_size_filter,22,48.944,2.224727272727273,2.2215,2.153,2.291,21300.0,15955.0,968.1818181818181,725.2272727272727,audio_pipeline_1781071552218_8G,8G,8192.0,5.615,21300.0,15955.0,43.329,8.716651825467498,7.716651825467498,-671.6651825467497,1.0,1.0,0.396211446612159,43.329,1.9695,chunk_sum远大于full，重复固定开销/初始化开销很明显
audio,audio_pipeline_1781071552218,mixed,1000,2,audio_nmf_snr_filter,22,4072.902,185.1319090909091,189.63549999999998,60.42,206.516,15955.0,8438.0,725.2272727272727,383.54545454545456,audio_pipeline_1781071552218_8G,8G,8192.0,3812.413,15955.0,8438.0,260.48900000000003,1.068326542795862,0.06832654279586184,93.16734572041382,1.0,1.0,0.0485602973998119,260.48900000000003,11.840409090909093,chunk_sum与full相对接近；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552218,mixed,1000,3,audio_duration_filter,22,89.611,4.073227272727273,4.1475,3.385,4.336,8438.0,7797.0,383.54545454545456,354.40909090909093,audio_pipeline_1781071552218_8G,8G,8192.0,12.473,8438.0,7797.0,77.138,7.18439830032871,6.18439830032871,-518.439830032871,1.0,1.0,0.32656355910585044,77.138,3.5062727272727274,chunk_sum远大于full，重复固定开销/初始化开销很明显
audio,audio_pipeline_1781071552218,mixed,1000,4,audio_add_gaussian_noise_mapper,22,75.141,3.4155,3.474,2.819,3.568,7797.0,7797.0,354.40909090909093,354.40909090909093,audio_pipeline_1781071552218_8G,8G,8192.0,33.731,7797.0,7797.0,41.410000000000004,2.2276540867451304,1.2276540867451307,-22.76540867451307,1.0,1.0,0.10125700394296049,41.410000000000004,1.8822727272727275,chunk_sum大于full，存在重复调度/I/O/初始化开销
audio,audio_pipeline_1781071552228,filter-heavy,100,1,audio_size_filter,213,472.839,2.219901408450704,2.219,2.123,2.324,21300.0,11720.0,100.0,55.02347417840375,audio_pipeline_1781071552228_8G,8G,8192.0,4.914,21300.0,11720.0,467.925,96.22283272283273,95.22283272283273,-9422.283272283274,1.0,1.0,0.45175038837010667,467.925,2.196830985915493,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次
audio,audio_pipeline_1781071552228,filter-heavy,100,2,audio_nmf_snr_filter,213,3190.68,14.979718309859154,14.941,11.038,22.46,11720.0,7738.0,55.02347417840375,36.328638497652584,audio_pipeline_1781071552228_8G,8G,8192.0,2821.116,11720.0,7738.0,369.56399999999985,1.1309992215846494,0.13099922158464944,86.90007784153505,1.0,1.0,0.005309855500397415,369.56399999999985,1.735042253521126,chunk_sum与full相对接近；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552228,filter-heavy,100,3,audio_duration_filter,213,740.649,3.477225352112676,3.495,2.843,3.689,7738.0,6999.0,36.328638497652584,32.859154929577464,audio_pipeline_1781071552228_8G,8G,8192.0,11.102,7738.0,6999.0,729.547,66.71311475409836,65.71311475409836,-6471.311475409836,1.0,1.0,0.31320711152158853,729.547,3.4251032863849766,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次
audio,audio_pipeline_1781071552228,filter-heavy,100,4,audio_ffmpeg_wrapped_mapper,213,318.678,1.4961408450704226,1.493,1.399,1.595,6999.0,6999.0,32.859154929577464,32.859154929577464,audio_pipeline_1781071552228_8G,8G,8192.0,54.899,6999.0,6999.0,263.779,5.804805187708337,4.804805187708337,-380.48051877083367,1.0,1.0,0.027252606515062616,263.779,1.238399061032864,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552228,filter-heavy,200,1,audio_size_filter,107,237.267,2.217448598130841,2.221,1.588,2.327,21300.0,11720.0,199.06542056074767,109.53271028037383,audio_pipeline_1781071552228_8G,8G,8192.0,4.914,21300.0,11720.0,232.353,48.28388278388279,47.28388278388279,-4628.388278388279,1.0,1.0,0.4512512409708671,232.353,2.1715233644859815,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次
