ds_type,pipeline_category,chunk_size,pipeline_count,operator_count,chunk_parts,full_actual_time,full_pred_time,chunk_actual_time,chunk_pred_time,chunk_pred_abs_error,chunk_actual_abs_error,full_pred_abs_error,chunk_pred_mape,chunk_actual_mape,full_pred_mape,chunk_pred_accuracy,chunk_actual_accuracy,full_pred_accuracy
audio,filter-heavy,100,1,4,852,2892.0310000000004,2154.3344960212708,4722.846,11519.163132429123,8627.132132429122,1830.8149999999991,737.6965039787297,298.30704209011316,63.305510902199835,25.507904444272196,-198.30704209011316,36.694489097800165,74.4920955557278
audio,filter-heavy,200,1,4,428,2892.0310000000004,2154.3344960212708,3795.616,6055.419432401657,3163.3884324016567,903.5849999999996,737.6965039787297,109.38293650384993,31.24395969476121,25.507904444272196,-9.382936503849933,68.7560403052388,74.4920955557278
audio,filter-heavy,500,1,4,172,2892.0310000000004,2154.3344960212708,3355.197,3781.8568563461304,889.82585634613,463.1659999999997,737.6965039787297,30.768199108036182,16.01525018231131,25.507904444272196,69.23180089196381,83.9847498176887,74.4920955557278
audio,filter-heavy,1000,1,4,88,2892.0310000000004,2154.3344960212708,3128.014,3086.731211423874,194.7002114238735,235.98299999999972,737.6965039787297,6.732300290829299,8.159767305398859,25.507904444272196,93.2676997091707,91.84023269460114,74.4920955557278
audio,mapper-heavy,100,1,3,639,5020.214,3803.9963207244873,6831.046,12748.696325778961,7728.482325778961,1810.8320000000003,1216.2176792755126,153.94726849849351,36.07081291753699,24.22641105091362,-53.947268498493514,63.92918708246301,75.77358894908639
audio,mapper-heavy,200,1,3,321,5020.214,3803.9963207244873,6077.365,8077.133493423462,3056.919493423462,1057.1509999999998,1216.2176792755126,60.892214822385306,21.057887173734024,24.22641105091362,39.107785177614694,78.94211282626597,75.77358894908639
audio,mapper-heavy,500,1,3,129,5020.214,3803.9963207244873,5615.635,5658.3594217300415,638.1454217300416,595.4210000000003,1216.2176792755126,12.711518308383699,11.860470489903424,24.22641105091362,87.2884816916163,88.13952951009658,75.77358894908639
audio,mapper-heavy,1000,1,3,66,5020.214,3803.9963207244873,5484.370000000001,4905.718065738678,114.49593426132196,464.15600000000086,1216.2176792755126,2.2806982782272223,9.245741317003635,24.22641105091362,97.71930172177278,90.75425868299637,75.77358894908639
audio,mixed,100,1,4,852,3864.232,2864.1639103889465,6110.418,12323.453128099442,8459.221128099442,2246.1859999999997,1000.0680896110534,218.91079852605748,58.127617596459004,25.880125458591863,-118.91079852605748,41.872382403540996,74.11987454140814
audio,mixed,200,1,4,428,3864.232,2864.1639103889465,5090.098000000001,6629.220991373062,2764.988991373062,1225.866000000001,1000.0680896110534,71.55338994586926,31.723405841057183,25.880125458591863,28.446610054130744,68.27659415894281,74.11987454140814
