ds_type,pipeline_base_name,pipeline_category,chunk_size,full_pipeline_name,full_scale_token,chunk_parts,operator_count,full_actual_time,full_pred_time,chunk_actual_time,chunk_pred_time,chunk_actual_abs_error,chunk_pred_abs_error,full_pred_abs_error,chunk_actual_relative_error,chunk_pred_relative_error,full_pred_relative_error,chunk_actual_accuracy,chunk_pred_accuracy,full_pred_accuracy
audio,audio_pipeline_1781071552218,mixed,100,audio_pipeline_1781071552218_8G,8G,852,4,3864.232,1528.8202686309814,6110.418,8478.520883083344,2246.1859999999997,4614.2888830833435,2335.4117313690185,0.58127617596459,1.1941024459927208,0.6043663349842915,41.872382403540996,-19.410244599272076,39.563366501570854
audio,audio_pipeline_1781071552218,mixed,200,audio_pipeline_1781071552218_8G,8G,428,4,3864.232,1528.8202686309814,5090.098000000001,4576.168597459793,1225.866000000001,711.9365974597931,2335.4117313690185,0.31723405841057184,0.18423753994578823,0.6043663349842915,68.27659415894281,81.57624600542118,39.563366501570854
audio,audio_pipeline_1781071552218,mixed,500,audio_pipeline_1781071552218_8G,8G,172,4,3864.232,1528.8202686309814,4430.54,2993.651992082596,566.308,870.5800079174041,2335.4117313690185,0.14655124226495717,0.22529185823144265,0.6043663349842915,85.34487577350428,77.47081417685574,39.563366501570854
audio,audio_pipeline_1781071552218,mixed,1000,audio_pipeline_1781071552218_8G,8G,88,4,3864.232,1528.8202686309814,4286.598,1960.3857417106628,422.366,1903.8462582893371,2335.4117313690185,0.10930140840405027,0.492684253504794,0.6043663349842915,89.06985915959497,50.7315746495206,39.563366501570854
audio,audio_pipeline_1781071552228,filter-heavy,100,audio_pipeline_1781071552228_8G,8G,852,4,2892.0310000000004,1386.9987812042236,4722.846,7900.655563831329,1830.8149999999991,5008.6245638313285,1505.0322187957768,0.6330551090219984,1.7318709805777766,0.5204066688067233,36.694489097800165,-73.18709805777766,47.959333119327674
audio,audio_pipeline_1781071552228,filter-heavy,200,audio_pipeline_1781071552228_8G,8G,428,4,2892.0310000000004,1386.9987812042236,3795.616,4328.584780454636,903.5849999999996,1436.5537804546352,1505.0322187957768,0.3124395969476121,0.4967283478132271,0.5204066688067233,68.7560403052388,50.32716521867729,47.959333119327674
audio,audio_pipeline_1781071552228,filter-heavy,500,audio_pipeline_1781071552228_8G,8G,172,4,2892.0310000000004,1386.9987812042236,3355.197,2483.795769929886,463.1659999999997,408.23523007011454,1505.0322187957768,0.1601525018231131,0.14115866326125637,0.5204066688067233,83.9847498176887,85.88413367387436,47.959333119327674
audio,audio_pipeline_1781071552228,filter-heavy,1000,audio_pipeline_1781071552228_8G,8G,88,4,2892.0310000000004,1386.9987812042236,3128.014,1697.6749577522278,235.98299999999972,1194.3560422477726,1505.0322187957768,0.08159767305398859,0.41298175650529767,0.5204066688067233,91.84023269460114,58.701824349470236,47.959333119327674
audio,audio_pipeline_1781071552263,mapper-heavy,100,audio_pipeline_1781071552263_8G,8G,639,3,5020.214,2093.4436416625977,6831.046,8177.30601644516,1810.8320000000003,3157.09201644516,2926.7703583374023,0.3607081291753699,0.6288759834630875,0.5829971308668122,63.92918708246301,37.11240165369125,41.700286913318784
audio,audio_pipeline_1781071552263,mapper-heavy,200,audio_pipeline_1781071552263_8G,8G,321,3,5020.214,2093.4436416625977,6077.365,5193.396389007568,1057.1509999999998,173.18238900756842,2926.7703583374023,0.21057887173734025,0.034497013276240496,0.5829971308668122,78.94211282626597,96.55029867237594,41.700286913318784
