level,operator_rows,full_actual_time_sum,chunk_actual_time_sum,chunk_sum_to_full_ratio,chunk_sum_mape_like,chunk_sum_accuracy,mean_operator_relative_error,median_operator_relative_error,estimated_repeated_overhead_sum,ds_type,chunk_size,pipeline_category,pipeline_base_name
by_pipeline_category_chunk_size,8,82.44,1658.4810000000002,20.117430858806408,1911.7430858806408,-1811.7430858806408,3882.215137361554,2513.2117251801596,1576.041,image,500,mixed,
by_pipeline_category_chunk_size,8,82.44,995.367,12.073835516739447,1107.3835516739446,-1007.3835516739446,2127.150643495872,1398.7057808511017,912.9269999999999,image,1000,mixed,
by_pipeline_category_chunk_size,23,56.175000000000004,4846.589,86.27661771250555,8527.661771250556,-8427.661771250556,9016.619904057437,9855.156746933213,4790.414000000001,text,100,filter-heavy,
by_pipeline_category_chunk_size,23,56.175000000000004,2477.787999999999,44.108375611926995,4310.837561192699,-4210.837561192699,4512.408981476947,4891.368680641183,2421.613,text,200,filter-heavy,
by_pipeline_category_chunk_size,23,56.175000000000004,994.9770000000001,17.712096128170895,1671.2096128170895,-1571.2096128170895,1748.4274986523842,1891.0040890504315,938.8019999999998,text,500,filter-heavy,
by_pipeline_category_chunk_size,23,56.175000000000004,493.17,8.779172229639519,777.9172229639519,-677.9172229639519,820.4922220898845,903.9711191335741,436.995,text,1000,filter-heavy,
by_pipeline_category_chunk_size,16,38.452999999999996,2809.3830000000003,73.0601773593738,7206.017735937379,-7106.017735937379,7648.136362632309,7389.206023021122,2770.9300000000003,text,100,mapper-heavy,
by_pipeline_category_chunk_size,16,38.452999999999996,1540.504,40.0619977635035,3906.19977635035,-3806.19977635035,4058.0565069858894,4699.660471855934,1502.051,text,200,mapper-heavy,
by_pipeline_category_chunk_size,16,38.452999999999996,632.426,16.446727173432507,1544.6727173432505,-1444.6727173432505,1600.6133873319995,1853.07117915344,593.9730000000001,text,500,mapper-heavy,
by_pipeline_category_chunk_size,16,38.452999999999996,317.58899999999994,8.259147530751827,725.9147530751827,-625.9147530751827,752.0194100812804,873.1103205355458,279.13599999999997,text,1000,mapper-heavy,
