ds_type,pipeline_base_name,pipeline_category,chunk_size,operator_index,operator_name,chunk_parts,chunk_actual_time,chunk_pred_time,chunk_actual_time_mean,chunk_actual_time_median,chunk_actual_time_min,chunk_actual_time_max,chunk_pred_time_mean,chunk_pred_time_median,chunk_pred_time_min,chunk_pred_time_max,chunk_self_mae,chunk_self_mape,chunk_self_valid_rows,chunk_self_rmse,chunk_self_accuracy,full_pipeline_name,full_scale_token,full_scale_value,full_actual_time,full_pred_time,chunk_actual_abs_error,chunk_pred_abs_error,full_pred_abs_error,chunk_actual_relative_error,chunk_pred_relative_error,full_pred_relative_error,chunk_actual_sum_vs_full_relative_error,chunk_pred_sum_vs_full_relative_error
audio,audio_pipeline_1781071552218,mixed,100,1,audio_size_filter,213,473.123,413.2363450527191,2.2212347417840377,2.224,1.541,2.344,1.9400767373367094,1.9392991065979004,1.816305160522461,2.035942792892456,0.2850643228074195,12.818446932100475,213,0.29229762609233034,87.18155306789953,audio_pipeline_1781071552218_8G,8G,8192.0,5.615,4.972311496734619,467.508,407.6213450527191,0.6426885032653811,83.26055209260907,72.59507480903278,0.11445921696622993,83.26055209260907,72.59507480903278
audio,audio_pipeline_1781071552218,mixed,100,2,audio_nmf_snr_filter,213,4303.79,10206.437938690186,20.205586854460094,20.009,14.275,25.526,47.91754900793514,47.55158233642578,42.37289810180664,57.27583312988281,27.71196215347505,138.9750097720837,213,27.87698396773851,-38.975009772083695,audio_pipeline_1781071552218_8G,8G,8192.0,3812.413,2819.149658203125,491.37699999999995,6394.024938690185,993.263341796875,0.12888871168994542,1.6771595676255917,0.26053403495289595,0.12888871168994542,1.6771595676255917
audio,audio_pipeline_1781071552218,mixed,100,3,audio_duration_filter,213,740.517,897.9132971763611,3.476605633802817,3.492,2.827,3.676,4.215555385804512,4.213406085968018,3.9526209831237793,4.439488410949707,0.7389497520016952,21.46606473467724,213,0.7553358632003979,78.53393526532275,audio_pipeline_1781071552218_8G,8G,8192.0,12.473,11.603948593139648,728.0440000000001,885.4402971763611,0.8690514068603523,58.369598332397985,70.98855906168212,0.06967460970579269,58.369598332397985,70.98855906168212
audio,audio_pipeline_1781071552218,mixed,100,4,audio_add_gaussian_noise_mapper,213,592.988,805.8655471801758,2.783981220657277,2.826,2.194,2.956,3.7834063247895577,3.788001537322998,3.5247955322265625,4.027910232543945,0.9994251041322807,36.422110433256975,213,1.0150957419834554,63.577889566743025,audio_pipeline_1781071552218_8G,8G,8192.0,33.731,28.437992095947266,559.2570000000001,772.1345471801758,5.293007904052736,16.57991165396816,22.890947412770917,0.1569182029602661,16.57991165396816,22.890947412770917
audio,audio_pipeline_1781071552218,mixed,200,1,audio_size_filter,107,237.47,205.97136330604553,2.2193457943925234,2.219,1.597,2.344,1.924966012206033,1.925971269607544,1.842954158782959,2.008570671081543,0.30138449112722804,13.559294272060574,107,0.3085562531381135,86.44070572793943,audio_pipeline_1781071552218_8G,8G,8192.0,5.615,4.972311496734619,231.855,200.35636330604552,0.6426885032653811,41.29207479964381,35.682344310960914,0.11445921696622993,41.29207479964381,35.682344310960914
audio,audio_pipeline_1781071552218,mixed,200,2,audio_nmf_snr_filter,107,4178.564,5556.334526062012,39.052,39.062,19.725,50.925,51.92836005665431,51.34767150878906,46.45894241333008,62.41189956665039,12.876360056654315,34.27720374197602,107,13.630438343461844,65.72279625802398,audio_pipeline_1781071552218_8G,8G,8192.0,3812.413,2819.149658203125,366.1510000000003,1743.9215260620117,993.263341796875,0.09604179819972293,0.4574324780819947,0.26053403495289595,0.09604179819972293,0.4574324780819947
audio,audio_pipeline_1781071552218,mixed,200,3,audio_duration_filter,107,372.713,455.23701095581055,3.483299065420561,3.488,2.886,3.671,4.254551504259911,4.260461807250977,4.098825454711914,4.423926830291748,0.771252438839351,22.22662331890526,107,0.779069672615868,77.77337668109473,audio_pipeline_1781071552218_8G,8G,8192.0,12.473,11.603948593139648,360.24,442.76401095581053,0.8690514068603523,28.881584221919343,35.49779611607556,0.06967460970579269,28.881584221919343,35.49779611607556
audio,audio_pipeline_1781071552218,mixed,200,4,audio_add_gaussian_noise_mapper,107,301.351,411.67809104919434,2.8163644859813086,2.816,2.671,2.92,3.8474587948522836,3.8456673622131348,3.6123905181884766,4.078451156616211,1.0310943088709752,36.648109902419066,107,1.0353493936253417,63.351890097580934,audio_pipeline_1781071552218_8G,8G,8192.0,33.731,28.437992095947266,267.62,377.94709104919434,5.293007904052736,7.933948000355755,11.204740181115126,0.1569182029602661,7.933948000355755,11.204740181115126
audio,audio_pipeline_1781071552218,mixed,500,1,audio_size_filter,43,95.796,86.5828640460968,2.227813953488372,2.219,2.138,2.318,2.0135549778162045,2.0111424922943115,1.9239344596862793,2.098316192626953,0.2142589756721674,9.582177131382636,43,0.22275939945773374,90.41782286861736,audio_pipeline_1781071552218_8G,8G,8192.0,5.615,4.972311496734619,90.18100000000001,80.9678640460968,0.6426885032653811,16.060730186999113,14.41992235905553,0.11445921696622993,16.060730186999113,14.41992235905553
audio,audio_pipeline_1781071552218,mixed,500,2,audio_nmf_snr_filter,43,4053.709,4121.454925537109,94.27230232558139,95.26,59.682,103.632,95.84778896597929,97.94573974609375,75.24886322021484,111.14159393310547,5.893238968250363,6.4937307629963295,43,7.95307525993801,93.50626923700366,audio_pipeline_1781071552218_8G,8G,8192.0,3812.413,2819.149658203125,241.29599999999982,309.04192553710936,993.263341796875,0.06329219840557668,0.08106202699893987,0.26053403495289595,0.06329219840557668,0.08106202699893987
audio,audio_pipeline_1781071552218,mixed,500,3,audio_duration_filter,43,158.844,180.20577669143677,3.694046511627907,3.557,3.415,4.257,4.190832016079924,4.2111334800720215,4.03502893447876,4.370196342468262,0.5128490468402241,14.456538341053623,43,0.5771700656167719,85.54346165894637,audio_pipeline_1781071552218_8G,8G,8192.0,12.473,11.603948593139648,146.37099999999998,167.73277669143675,0.8690514068603523,11.735027659745047,13.447669100572176,0.06967460970579269,11.735027659745047,13.447669100572176
audio,audio_pipeline_1781071552218,mixed,500,4,audio_add_gaussian_noise_mapper,43,122.191,167.9517321586609,2.8416511627906975,2.825,2.717,3.371,3.9058542362479276,3.917722225189209,3.597304344177246,4.130817890167236,1.0642030734572299,37.59639127635277,43,1.0742209013059674,62.40360872364723,audio_pipeline_1781071552218_8G,8G,8192.0,33.731,28.437992095947266,88.46000000000001,134.2207321586609,5.293007904052736,2.622513414959533,3.9791506969452697,0.1569182029602661,2.622513414959533,3.9791506969452697
audio,audio_pipeline_1781071552218,mixed,1000,1,audio_size_filter,22,48.944,44.42515182495117,2.224727272727273,2.2215,2.153,2.291,2.019325082952326,2.017819881439209,1.9482665061950684,2.133246421813965,0.2054021897749467,9.192473591796633,22,0.21627620996387756,90.80752640820337,audio_pipeline_1781071552218_8G,8G,8192.0,5.615,4.972311496734619,43.329,38.81015182495117,0.6426885032653811,7.716651825467498,6.911870316108845,0.11445921696622993,7.716651825467498,6.911870316108845
audio,audio_pipeline_1781071552218,mixed,1000,2,audio_nmf_snr_filter,22,4072.902,3683.923500061035,185.1319090909091,189.63549999999998,60.42,206.516,167.45106818459251,176.15106201171875,77.0372543334961,187.77174377441406,20.005798153963955,11.19287098098984,22,23.063728890833815,88.80712901901016,audio_pipeline_1781071552218_8G,8G,8192.0,3812.413,2819.149658203125,260.48900000000003,128.48949993896485,993.263341796875,0.06832654279586184,0.03370293300829812,0.26053403495289595,0.06832654279586184,0.03370293300829812
audio,audio_pipeline_1781071552218,mixed,1000,3,audio_duration_filter,22,89.611,94.3868727684021,4.073227272727273,4.1475,3.385,4.336,4.2903123985637315,4.282531976699829,4.173228740692139,4.4568328857421875,0.22437274672768331,6.018754765068838,22,0.36040034713410907,93.98124523493117,audio_pipeline_1781071552218_8G,8G,8192.0,12.473,11.603948593139648,77.138,81.9138727684021,0.8690514068603523,6.18439830032871,6.567295179058935,0.06967460970579269,6.18439830032871,6.567295179058935
audio,audio_pipeline_1781071552218,mixed,1000,4,audio_add_gaussian_noise_mapper,22,75.141,89.87448406219482,3.4155,3.474,2.819,3.568,4.0852038210088555,4.083150148391724,3.8914594650268555,4.274953365325928,0.6697038210088556,20.018037925391425,22,0.7010053377255248,79.98196207460857,audio_pipeline_1781071552218_8G,8G,8192.0,33.731,28.437992095947266,41.410000000000004,56.14348406219482,5.293007904052736,1.2276540867451307,1.6644476612669301,0.1569182029602661,1.2276540867451307,1.6644476612669301
audio,audio_pipeline_1781071552228,filter-heavy,100,1,audio_size_filter,213,472.839,399.9082238674164,2.219901408450704,2.219,2.123,2.324,1.8775033984385745,1.8813176155090332,1.735410451889038,1.9888083934783936,0.34239801001212966,15.397377454701266,213,0.34805050861337433,84.60262254529873,audio_pipeline_1781071552228_8G,8G,8192.0,4.914,4.520544528961182,467.925,394.9942238674164,0.39345547103881806,95.22283272283273,80.38140493842418,0.08006826842466791,95.22283272283273,80.38140493842418
audio,audio_pipeline_1781071552228,filter-heavy,100,2,audio_nmf_snr_filter,213,3190.68,9666.520095825195,14.979718309859154,14.941,11.038,22.46,45.38272345457838,45.149749755859375,40.0792236328125,52.27117919921875,30.403005144719227,206.9659043022629,213,30.519314413943718,-106.96590430226291,audio_pipeline_1781071552228_8G,8G,8192.0,2821.116,2099.65576171875,369.56399999999985,6845.404095825195,721.46023828125,0.13099922158464944,2.426487991215248,0.25573575786364333,0.13099922158464944,2.426487991215248
