                                                                 importance    stddev       p_value  n      p99_high       p99_low
op_image_aesthetics_filter_min_score                           2.865687e-03  0.000138  6.451378e-07  5  3.150030e-03  2.581345e-03
op_image_aspect_ratio_filter_min_ratio                         2.799781e-03  0.000064  3.332108e-08  5  2.932137e-03  2.667425e-03
op_character_repetition_filter_batch_size                      2.787310e-03  0.000374  3.817045e-05  5  3.558348e-03  2.016271e-03
op_maximum_line_length_filter_min_len                          2.784766e-03  0.000378  3.972383e-05  5  3.562915e-03  2.006617e-03
op_text_length_filter_max_len                                  2.716525e-03  0.000414  6.293324e-05  5  3.569497e-03  1.863554e-03
op_image_watermark_filter_hf_watermark_model                   2.707900e-03  0.000262  1.033526e-05  5  3.246696e-03  2.169105e-03
profile_image_aspect_ratio_w_over_h_mean                       2.667670e-03  0.000149  1.151883e-06  5  2.973723e-03  2.361616e-03
profile_image_aspect_ratio_w_over_h_n                          2.631010e-03  0.000095  2.046496e-07  5  2.826863e-03  2.435158e-03
profile_image_aspect_ratio_w_over_h_min                        2.587996e-03  0.000114  4.552815e-07  5  2.823327e-03  2.352665e-03
op_document_simhash_deduplicator_lowercase                     2.174440e-03  0.000073  1.544112e-07  5  2.325290e-03  2.023590e-03
op_type_image_blur_mapper                                      2.171759e-03  0.000072  1.409435e-07  5  2.319022e-03  2.024496e-03
op_average_line_length_filter_max_len                          2.103491e-03  0.000233  1.778437e-05  5  2.583316e-03  1.623666e-03
profile_image_aspect_ratio_w_over_h_max                        1.968582e-03  0.000055  7.395139e-08  5  2.082180e-03  1.854985e-03
op_average_line_length_filter_min_len                          1.913200e-03  0.000101  9.229484e-07  5  2.120844e-03  1.705555e-03
op_maximum_line_length_filter_max_len                          1.860070e-03  0.000299  7.780984e-05  5  2.476474e-03  1.243667e-03
profile_audio_duration_sec_max                                 1.757304e-03  0.000053  1.011503e-07  5  1.866973e-03  1.647634e-03
profile_image_file_size_kb_p10                                 1.750681e-03  0.000083  6.093345e-07  5  1.921923e-03  1.579438e-03
profile_audio_sample_rate_hz_mean                              1.725423e-03  0.000098  1.222722e-06  5  1.926357e-03  1.524489e-03
profile_image_height_px_p5                                     1.695051e-03  0.000148  6.947023e-06  5  2.000262e-03  1.389840e-03
op_text_length_filter_min_len                                  1.672929e-03  0.000198  2.325145e-05  5  2.081227e-03  1.264631e-03
op_image_shape_filter_min_width                                1.596112e-03  0.000101  1.928722e-06  5  1.804477e-03  1.387746e-03
op_flagged_words_filter_max_ratio                              1.523625e-03  0.000088  1.305458e-06  5  1.703993e-03  1.343256e-03
op_perplexity_filter_max_ppl                                   1.510772e-03  0.000193  3.107978e-05  5  1.907528e-03  1.114017e-03
profile_image_file_size_kb_min                                 1.468368e-03  0.000056  2.551654e-07  5  1.583877e-03  1.352859e-03
op_remove_words_with_incorrect_substrings_mapper_substrings    1.365230e-03  0.000120  7.204442e-06  5  1.613311e-03  1.117149e-03
op_type_audio_size_filter                                      1.305633e-03  0.000081  1.782515e-06  5  1.472743e-03  1.138523e-03
op_words_num_filter_max_num                                    1.279643e-03  0.000138  1.601121e-05  5  1.563916e-03  9.953694e-04
op_text_entity_dependency_filter_lang                          1.266504e-03  0.000101  4.777906e-06  5  1.474088e-03  1.058919e-03
op_document_simhash_deduplicator_tokenization                  1.170096e-03  0.000086  3.535127e-06  5  1.347913e-03  9.922789e-04
profile_text_word_count_p25                                    1.089607e-03  0.000078  3.206589e-06  5  1.251190e-03  9.280249e-04
op_audio_size_filter_max_size                                  1.075624e-03  0.000077  3.059367e-06  5  1.233263e-03  9.179847e-04
op_fix_unicode_mapper_normalization                            1.060703e-03  0.000080  3.899478e-06  5  1.225913e-03  8.954935e-04
op_word_repetition_filter_rep_len                              9.602559e-04  0.000132  4.218650e-05  5  1.232697e-03  6.878145e-04
op_type_remove_table_text_mapper                               9.369202e-04  0.000044  5.951702e-07  5  1.028027e-03  8.458136e-04
op_alphanumeric_filter_batch_size                              9.186082e-04  0.000048  9.198522e-07  5  1.018223e-03  8.189932e-04
op_type_image_face_blur_mapper                                 9.096860e-04  0.000042  5.554428e-07  5  9.966274e-04  8.227445e-04
profile_text_max_line_length_min                               8.691346e-04  0.000036  3.365838e-07  5  9.424114e-04  7.958577e-04
profile_image_file_size_kb_p50                                 8.609032e-04  0.000060  2.845204e-06  5  9.847978e-04  7.370086e-04
profile_image_width_px_mean                                    8.584372e-04  0.000037  4.092927e-07  5  9.344433e-04  7.824311e-04
profile_image_aspect_ratio_w_over_h_p95                        8.080446e-04  0.000041  8.125445e-07  5  8.929896e-04  7.230995e-04
profile_image_file_size_kb_p90                                 7.856237e-04  0.000024  1.013480e-07  5  8.346767e-04  7.365708e-04
op_token_num_filter_min_num                                    7.517023e-04  0.000042  1.199910e-06  5  8.388298e-04  6.645749e-04
profile_audio_duration_sec_min                                 7.342282e-04  0.000030  3.232718e-07  5  7.955091e-04  6.729474e-04
profile_image_height_px_min                                    7.329159e-04  0.000050  2.658146e-06  5  8.366079e-04  6.292240e-04
profile_image_file_size_kb_p95                                 7.204315e-04  0.000027  2.249381e-07  5  7.753440e-04  6.655191e-04
profile_image_aspect_ratio_w_over_h_p10                        6.985431e-04  0.000044  1.896742e-06  5  7.893534e-04  6.077327e-04
op_stopwords_filter_use_words_aug                              6.811382e-04  0.000055  4.898645e-06  5  7.934809e-04  5.687955e-04
op_character_repetition_filter_max_ratio                       6.625894e-04  0.000088  3.684503e-05  5  8.442466e-04  4.809323e-04
op_audio_duration_filter_any_or_all                            6.599633e-04  0.000055  5.718366e-06  5  7.731259e-04  5.468007e-04
profile_image_file_size_kb_mean                                6.525696e-04  0.000045  2.674021e-06  5  7.450323e-04  5.601070e-04
op_token_num_filter_hf_tokenizer                               5.839402e-04  0.000070  2.464177e-05  5  7.285618e-04  4.393186e-04
profile_image_width_px_p5                                      5.717489e-04  0.000036  1.779191e-06  5  6.448936e-04  4.986042e-04
op_type_image_shape_filter                                     5.535722e-04  0.000023  3.631952e-07  5  6.011413e-04  5.060030e-04
op_type_remove_specific_chars_mapper                           5.097862e-04  0.000051  1.149145e-05  5  6.139619e-04  4.056105e-04
profile_text_word_count_min                                    5.068792e-04  0.000066  3.377288e-05  5  6.428202e-04  3.709381e-04
profile_audio_file_size_kb_mean                                5.039812e-04  0.000019  2.385804e-07  5  5.429656e-04  4.649967e-04
op_text_chunk_mapper_split_pattern                             4.857499e-04  0.000031  2.008970e-06  5  5.498138e-04  4.216861e-04
env_gpu_util                                                   4.771507e-04  0.000030  1.744994e-06  5  5.378971e-04  4.164043e-04
profile_text_token_count_approx_chars_div_4_p25                4.707201e-04  0.000017  2.195734e-07  5  5.063831e-04  4.350571e-04
profile_text_char_length_max                                   4.654754e-04  0.000039  6.005453e-06  5  5.462776e-04  3.846732e-04
profile_image_width_px_min                                     4.633403e-04  0.000047  1.301957e-05  5  5.610473e-04  3.656333e-04
profile_text_sentence_count_p10                                4.572674e-04  0.000052  1.965739e-05  5  5.642406e-04  3.502941e-04
profile_image_aspect_ratio_w_over_h_p90                        4.494295e-04  0.000022  6.616591e-07  5  4.943065e-04  4.045524e-04
profile_audio_file_size_kb_min                                 4.452183e-04  0.000026  1.301428e-06  5  4.978830e-04  3.925537e-04
op_perplexity_filter_batch_size                                4.139378e-04  0.000065  7.111819e-05  5  5.480113e-04  2.798643e-04
